facility_id,name,state,latitude,longitude,tornado_event_days,tornado_density_per_10k_km2_yr,tornado_density_lo95,tornado_density_hi95,tornado_strike_prob_per_yr,tornado_strike_return_yr,hail_event_days,hail_density_per_10k_km2_yr,hail_density_lo95,hail_density_hi95,wind_event_days,wind_density_per_10k_km2_yr,wind_density_lo95,wind_density_hi95
dc_9bb24f423687,CoreSite DC1,DC,38.9025805,-77.0292105,3,0.238732414637843,0.04923236325599575,0.697677423242973,0.0001028884056527481,9719.268110490839,9,0.716197243913529,0.3274909855575829,1.3595654605234175,35,2.7852115041081684,1.940001862961366,3.8735549716687516
dc_a6e2e1513613,Southwest Cyberport,NM,35.10196,-106.58933,0,0.0,0.0,0.29355169979618273,0.0,,1,0.07957747154594767,0.0020147271444755943,0.44337729340660753,5,0.3978873577297384,0.1291929420148819,0.9285363640309683
dc_a686ad9e9a88,NocRoom Miami IT Services,FL,25.7915453,-80.3177484,2,0.15915494309189535,0.019274401971496886,0.5749223773066624,4.378261172708992e-05,22840.117584425945,2,0.15915494309189535,0.019274401971496886,0.5749223773066624,14,1.1140846016432675,0.6090804187769779,1.8692446564479623
dc_6d263b15b250,NocRoom Miami IT Services,FL,25.776033,-80.193092,1,0.07957747154594767,0.0020147271444755943,0.44337729340660753,4.215778059980573e-05,23720.413782992364,2,0.15915494309189535,0.019274401971496886,0.5749223773066624,14,1.1140846016432675,0.6090804187769779,1.8692446564479623
dc_880a171377bb,Center for Computation & Technology (CCT),LA,30.407446,-91.1725454,1,0.07957747154594767,0.0020147271444755943,0.44337729340660753,2.6354468122184112e-05,37944.2300016763,6,0.477464829275686,0.17522117730435385,1.0392399224320232,16,1.2732395447351628,0.7277664119814672,2.0676612519983335
dc_537f282facb3,Google Fiber,GA,33.7715677,-84.3668585,5,0.3978873577297384,0.1291929420148819,0.9285363640309683,0.000234127333234135,4271.180071913976,8,0.6366197723675814,0.2748472317696824,1.2543947416433225,15,1.1936620731892151,0.6680836010988076,1.9687640632861831
dc_15be445c537f,Open Computing Facility,CA,37.8698521,-122.2598231,0,0.0,0.0,0.29355169979618273,0.0,,0,0.0,0.0,0.29355169979618273,1,0.07957747154594767,0.0020147271444755943,0.44337729340660753
dc_e54691f8993e,Lumos Networks,VA,37.4156786,-79.1429447,4,0.3183098861837907,0.0867287307586625,0.8149997314022375,0.0002643644158446151,3782.6573474539323,2,0.15915494309189535,0.019274401971496886,0.5749223773066624,18,1.432394487827058,0.8489277539060985,2.263800833235149
dc_004d4bd391b5,Rack59 Data Center,OK,35.4672049,-97.6497453,18,1.432394487827058,0.8489277539060985,2.263800833235149,0.0056646145058540966,176.53451950994193,58,4.615493349664965,3.5047376073664913,5.9665954511176995,63,5.013380707394703,3.8524193883132565,6.414291744251644
dc_c15c28bd70c1,Oso Grande,NM,35.0925015,-106.6536712,0,0.0,0.0,0.29355169979618273,0.0,,1,0.07957747154594767,0.0020147271444755943,0.44337729340660753,4,0.3183098861837907,0.0867287307586625,0.8149997314022375
